scenario,link,metric,time,type
farm,3g,communication,107.828669,base
farm,4g,communication,105.069185,base
farm,wifi,communication,104.862211,base
farm,zigbee,communication,111.211533,base
farm,ethernet,communication,102.596697,base
farm,3g,communication,104.104669,MQuicTT
farm,4g,communication,102.295258,MQuicTT
farm,wifi,communication,102.220152,MQuicTT
farm,zigbee,communication,110.273018,MQuicTT
farm,ethernet,communication,100.148721,MQuicTT
farm,3g,communication,107.828669,base
farm,4g,communication,94.792183,base
farm,wifi,communication,104.862211,base
farm,zigbee,communication,115.138707,base
farm,ethernet,communication,102.9455257,base
farm,3g,communication,118.679322,MQuicTT
farm,4g,communication,112.299734,MQuicTT
farm,wifi,communication,103.446793,MQuicTT
farm,zigbee,communication,114.193078,MQuicTT
farm,ethernet,communication,106.454728,MQuicTT
farm,3g,communication,117.127371,base
farm,4g,communication,111.782113,base
farm,wifi,communication,108.128315,base
farm,zigbee,communication,112.234723,base
farm,ethernet,communication,105.384783,base
farm,3g,communication,129.901823,MQuicTT
farm,4g,communication,104.978238,MQuicTT
farm,wifi,communication,108.366495,MQuicTT
farm,zigbee,communication,106.287371,MQuicTT
farm,ethernet,communication,103.837121,MQuicTT
farm,3g,communication,113.832748,base
farm,4g,communication,110.872112,base
farm,wifi,communication,105.346101,base
farm,zigbee,communication,108.827381,base
farm,ethernet,communication,104.599123,base
farm,3g,communication,115.277832,MQuicTT
farm,4g,communication,111.921128,MQuicTT
farm,wifi,communication,103.718991,MQuicTT
farm,zigbee,communication,109.271804,MQuicTT
farm,ethernet,communication,99.418731,MQuicTT
farm,3g,communication,112.707123,base
farm,4g,communication,106.897190,base
farm,wifi,communication,107.294561,base
farm,zigbee,communication,109.746093,base
farm,ethernet,communication,104.589213,base
farm,3g,communication,109.372498,MQuicTT
farm,4g,communication,110.098321,MQuicTT
farm,wifi,communication,111.232984,MQuicTT
farm,zigbee,communication,114.309412,MQuicTT
farm,ethernet,communication,107.879821,MQuicTT
