scenario,link,metric,time,type
home,3g,communication,106.471308,base
home,4g,communication,104.333450,base
home,wifi,communication,104.383508,base
home,zigbee,communication,111.676488,base
home,ethernet,communication,101.952312,base
home,3g,communication,103.769462,MQuicTT
home,4g,communication,101.611664,MQuicTT
home,wifi,communication,106.057809,MQuicTT
home,zigbee,communication,110.463987,MQuicTT
home,ethernet,communication,100.167739,MQuicTT
home,3g,communication,111.781408,base
home,4g,communication,107.430410,base
home,wifi,communication,108.914508,base
home,zigbee,communication,111.094779,base
home,ethernet,communication,100.698298,base
home,3g,communication,106.222234,MQuicTT
home,4g,communication,97.648809,MQuicTT
home,wifi,communication,103.393936,MQuicTT
home,zigbee,communication,114.993010,MQuicTT
home,ethernet,communication,103.383124,MQuicTT
home,3g,communication,119.382744,base
home,4g,communication,108.112873,base
home,wifi,communication,107.234217,base
home,zigbee,communication,109.128711,base
home,ethernet,communication,97.127121,base
home,3g,communication,110.823918,MQuicTT
home,4g,communication,100.743834,MQuicTT
home,wifi,communication,105.982113,MQuicTT
home,zigbee,communication,105.723451,MQuicTT
home,ethernet,communication,104.218713,MQuicTT
home,3g,communication,111.621712,base
home,4g,communication,110.091271,base
home,wifi,communication,102.878791,base
home,zigbee,communication,108.001273,base
home,ethernet,communication,99.162631,base
home,3g,communication,109.821738,MQuicTT
home,4g,communication,105.902183,MQuicTT
home,wifi,communication,106.071231,MQuicTT
home,zigbee,communication,113.971830,MQuicTT
home,ethernet,communication,104.901211,MQuicTT
home,3g,communication,107.192781,base
home,4g,communication,106.012731,base
home,wifi,communication,111.187121,base
home,zigbee,communication,110.903712,base
home,ethernet,communication,103.349013,base
home,3g,communication,106.897723,MQuicTT
home,4g,communication,106.677131,MQuicTT
home,wifi,communication,104.902370,MQuicTT
home,zigbee,communication,111.583471,MQuicTT
home,ethernet,communication,101.387412,MQuicTT
